location,total_sqft,bath,price,bhk
Electronic City,1571.0,3.0,89.0,3.0
Electronic City,1111.0,3.0,50.0,3.0
Electronic City,870.0,2.0,39.5,2.0
Electronic City,1374.0,2.0,72.0,3.0
Electronic City,1128.0,2.0,65.35,2.0
Electronic City,1128.0,2.0,65.0,2.0
Electronic City,755.0,1.0,34.0,2.0
Electronic City,1563.0,3.0,91.84,3.0
Electronic City,1652.0,3.0,70.0,3.0
Electronic City,1025.0,2.0,54.5,2.0
Electronic City,1070.0,2.0,46.0,2.0
Electronic City,1350.0,3.0,58.0,3.0
Electronic City,1700.0,3.0,75.0,3.0
Electronic City,1128.0,2.0,68.0,2.0
Electronic City,700.0,1.0,35.0,1.0
Electronic City,1360.0,2.0,70.5,3.0
Electronic City,1571.0,3.0,105.0,3.0
Electronic City,1600.0,3.0,104.0,3.0
Electronic City,1500.0,2.0,100.0,3.0
Electronic City,1152.0,2.0,65.0,2.0
Electronic City,1070.0,2.0,60.0,2.0
Electronic City,1128.0,2.0,65.5,2.0
Electronic City,1200.0,2.0,59.0,2.0
Electronic City,1152.0,2.0,65.75,2.0
Electronic City,1070.0,2.0,55.0,2.0
Electronic City,1060.0,2.0,58.0,2.0
Electronic City,1025.0,2.0,54.1,2.0
Electronic City,1500.0,2.0,78.0,3.0
Electronic City,1213.0,2.0,59.32,2.0
Electronic City,1575.0,3.0,90.0,3.0
Electronic City,1449.0,3.0,100.0,3.0
Electronic City,1125.0,2.0,58.0,2.0
Electronic City,1575.0,3.0,101.0,3.0
Electronic City,550.0,1.0,12.0,1.0
Electronic City,919.0,2.0,40.0,2.0
Electronic City,1500.0,2.0,78.25,3.0
Electronic City,1363.0,2.0,79.0,2.0
Electronic City,1108.0,2.0,67.15,2.0
Electronic City,1128.0,2.0,65.7,2.0
Electronic City,1060.0,2.0,51.0,2.0
Electronic City,1650.0,3.0,100.0,3.0
Electronic City,1025.0,2.0,49.0,2.0
Electronic City,1449.0,3.0,90.0,3.0
Electronic City,1070.0,2.0,58.0,2.0
Electronic City,1210.0,2.0,54.0,2.0
Electronic City,1500.0,2.0,75.0,3.0
Electronic City,1070.0,2.0,52.0,2.0
Electronic City,2435.0,4.0,119.0,4.0
Electronic City,1073.0,2.0,60.0,2.0
Electronic City,1500.0,2.0,78.0,3.0
Electronic City,1070.0,2.0,47.0,2.0
Electronic City,1296.0,2.0,65.0,2.0
Electronic City,1140.0,2.0,70.93,2.0
Electronic City,2093.0,4.0,104.0,4.0
Electronic City,1025.0,2.0,53.9,2.0
Electronic City,940.0,2.0,54.0,2.0
Electronic City,435.0,1.0,21.0,1.0
Electronic City,1500.0,2.0,77.5,3.0
Electronic City,1631.0,3.0,80.0,3.0
Electronic City,1355.0,2.0,67.0,2.0
Electronic City,435.0,1.0,22.0,1.0
Electronic City,1039.0,2.0,50.0,2.0
Electronic City,770.0,1.0,39.9,2.0
Electronic City,1128.0,2.0,64.0,2.0
Electronic City,605.0,1.0,13.31,1.0
Electronic City,530.0,1.0,13.5,1.0
Electronic City,1070.0,2.0,53.0,2.0
Electronic City,1571.0,3.0,83.0,3.0
Electronic City,1350.0,3.0,66.0,3.0
Electronic City,1652.0,3.0,110.0,3.0
Electronic City,1128.0,2.0,65.58,2.0
Electronic City,635.0,1.0,28.0,1.0
Electronic City,1128.0,2.0,65.4,2.0
Electronic City,1355.0,2.0,72.9,2.0
Electronic City,770.0,1.0,35.0,2.0
Electronic City,865.0,2.0,40.0,2.0
Electronic City,1108.0,2.0,63.0,2.0
Electronic City,630.0,1.0,40.5,1.0
Electronic City,605.0,1.0,22.0,1.0
Electronic City,1070.0,2.0,48.0,2.0
Electronic City,1360.0,2.0,70.0,3.0
Electronic City,635.0,1.0,28.0,1.0
Electronic City,1128.0,2.0,65.45,2.0
Electronic City,890.0,2.0,40.0,2.0
Electronic City,1360.0,2.0,58.0,3.0
Electronic City,630.0,1.0,33.7,1.0
Electronic City,1400.0,3.0,90.0,3.0
Electronic City,1287.0,3.0,55.0,3.0
Electronic City,1258.0,2.0,85.5,2.0
Electronic City,1386.0,2.0,85.0,2.0
Electronic City,1025.0,2.0,50.0,2.0
Electronic City,1070.0,2.0,55.0,2.0
Electronic City,1342.0,2.0,72.0,2.0
Electronic City,1275.0,3.0,70.0,3.0
Electronic City,770.0,1.0,38.0,2.0
Electronic City,1644.0,3.0,92.59,3.0
Electronic City,1250.0,2.0,62.0,2.0
Electronic City,418.0,1.0,12.0,1.0
Electronic City,1128.0,2.0,64.8,2.0
Electronic City,1060.0,2.0,55.0,2.0
Electronic City,710.0,1.0,40.42,1.0
Electronic City,1275.0,3.0,63.43,3.0
Electronic City,1518.0,3.0,75.0,3.0
Electronic City,1090.0,2.0,31.48,1.0
Electronic City,1060.0,2.0,55.0,2.0
Electronic City,1353.0,2.0,75.0,2.0
Electronic City,1128.0,2.0,67.0,2.0
Electronic City,1070.0,2.0,57.0,2.0
Electronic City,1700.0,3.0,90.0,3.0
Electronic City,750.0,1.0,35.0,1.0
Electronic City,1210.0,2.0,55.0,2.0
Electronic City,1070.0,2.0,60.0,2.0
Electronic City,1615.0,3.0,97.0,3.0
Electronic City,1221.0,2.0,68.0,2.0
Electronic City,1500.0,3.0,73.0,3.0
Electronic City,995.0,2.0,48.0,2.0
Electronic City,1342.0,2.0,90.0,2.0
Electronic City,1128.0,2.0,63.5,2.0
Electronic City,589.0,1.0,29.0,1.0
Electronic City,1575.0,3.0,94.5,3.0
Electronic City,1070.0,2.0,48.0,2.0
Electronic City,1025.0,2.0,54.0,2.0
Electronic City,1500.0,2.0,70.0,3.0
Electronic City,1500.0,2.0,64.5,3.0
Electronic City,2093.0,4.0,134.0,4.0
Electronic City,1355.0,2.0,73.0,2.0
Electronic City,1360.0,2.0,64.99,3.0
Electronic City,1060.0,2.0,52.0,2.0
Electronic City Phase II,1056.0,2.0,39.07,2.0
Electronic City Phase II,1020.0,2.0,30.6,2.0
Electronic City Phase II,1069.0,2.0,45.0,2.0
Electronic City Phase II,630.0,1.0,28.35,1.0
Electronic City Phase II,1000.0,2.0,25.0,2.0
Electronic City Phase II,1090.0,2.0,28.34,2.0
Electronic City Phase II,2225.0,4.0,98.88,4.0
Electronic City Phase II,775.0,2.0,38.0,2.0
Electronic City Phase II,1266.0,2.0,59.0,2.0
Electronic City Phase II,1000.0,2.0,28.88,2.0
Electronic City Phase II,972.0,2.0,44.0,2.0
Electronic City Phase II,1031.0,2.0,55.0,2.0
Electronic City Phase II,1003.0,2.0,40.6,2.0
Electronic City Phase II,1031.0,2.0,56.35,2.0
Electronic City Phase II,1395.0,2.0,62.78,3.0
Electronic City Phase II,1160.0,2.0,33.5,2.0
Electronic City Phase II,1065.0,2.0,30.75,2.0
Electronic City Phase II,1219.0,2.0,61.25,2.0
Electronic City Phase II,1000.0,2.0,28.88,2.0
Electronic City Phase II,1790.0,3.0,100.0,3.0
Electronic City Phase II,769.0,2.0,40.0,2.0
Electronic City Phase II,900.0,2.0,32.5,2.0
Electronic City Phase II,993.0,2.0,50.0,3.0
Electronic City Phase II,1418.0,3.0,52.47,3.0
Electronic City Phase II,1070.0,2.0,45.0,2.0
Electronic City Phase II,1140.0,2.0,33.06,2.0
Electronic City Phase II,1089.0,2.0,32.67,2.0
Electronic City Phase II,1031.0,2.0,55.0,2.0
Electronic City Phase II,1253.0,2.0,65.8,2.0
Electronic City Phase II,1160.0,2.0,33.5,2.0
Electronic City Phase II,975.0,2.0,45.0,3.0
Electronic City Phase II,6000.0,4.0,260.0,4.0
Electronic City Phase II,1116.0,2.0,37.0,2.0
Electronic City Phase II,1125.0,2.0,29.25,2.0
Electronic City Phase II,1000.0,2.0,28.88,2.0
Electronic City Phase II,1000.0,2.0,28.88,2.0
Electronic City Phase II,1000.0,2.0,28.88,2.0
Electronic City Phase II,1165.0,2.0,30.29,2.0
Electronic City Phase II,1031.0,2.0,53.0,2.0
Electronic City Phase II,1065.0,2.0,30.88,2.0
Electronic City Phase II,1549.0,3.0,80.0,3.0
Electronic City Phase II,1065.0,2.0,56.13,2.0
Electronic City Phase II,920.0,2.0,26.0,2.0
Electronic City Phase II,1140.0,2.0,33.84,2.0
Electronic City Phase II,1219.0,2.0,61.26,2.0
Electronic City Phase II,1252.0,2.0,65.0,3.0
Electronic City Phase II,1125.0,2.0,32.49,2.0
Electronic City Phase II,1286.0,2.0,69.0,2.0
Electronic City Phase II,1140.0,2.0,32.92,2.0
Electronic City Phase II,1116.0,2.0,40.0,2.0
Electronic City Phase II,1150.0,3.0,46.0,3.0
Electronic City Phase II,1192.0,2.0,47.0,3.0
Electronic City Phase II,1020.0,2.0,32.0,2.0
Electronic City Phase II,1900.0,3.0,97.0,4.0
Electronic City Phase II,1020.0,2.0,27.43,2.0
Electronic City Phase II,1025.0,2.0,26.65,2.0
Electronic City Phase II,1020.0,2.0,29.45,2.0
Electronic City Phase II,1000.0,2.0,28.88,2.0
Electronic City Phase II,1140.0,2.0,28.5,2.0
Electronic City Phase II,1125.0,2.0,32.49,2.0
Electronic City Phase II,1200.0,2.0,34.65,2.0
Electronic City Phase II,1160.0,2.0,52.2,2.0
Electronic City Phase II,1244.0,2.0,55.0,2.0
Electronic City Phase II,1160.0,2.0,33.51,2.0
Electronic City Phase II,972.0,2.0,40.0,2.0
Electronic City Phase II,1160.0,2.0,33.51,2.0
Electronic City Phase II,1090.0,2.0,31.48,2.0
Electronic City Phase II,1140.0,2.0,32.92,2.0
Electronic City Phase II,650.0,1.0,35.0,1.0
Electronic City Phase II,1155.0,2.0,57.0,2.0
Electronic City Phase II,1800.0,3.0,92.0,3.0
Electronic City Phase II,1300.0,2.0,28.0,2.0
Electronic City Phase II,1160.0,2.0,33.5,2.0
Electronic City Phase II,1025.0,2.0,29.6,2.0
Electronic City Phase II,829.0,2.0,22.8,2.0
Electronic City Phase II,2187.0,4.0,105.0,4.0
Electronic City Phase II,1252.0,2.0,67.0,2.0
Electronic City Phase II,1125.0,2.0,32.63,2.0
Electronic City Phase II,1140.0,2.0,34.0,2.0
Electronic City Phase II,1252.0,2.0,65.0,3.0
Electronic City Phase II,1135.0,2.0,46.0,2.0
Electronic City Phase II,1305.0,3.0,65.0,3.0
Electronic City Phase II,1165.0,2.0,33.64,2.0
Electronic City Phase II,1336.0,2.0,50.35,3.0
Electronic City Phase II,575.0,1.0,16.75,1.0
Electronic City Phase II,925.0,2.0,49.82,3.0
Electronic City Phase II,1065.0,2.0,30.76,2.0
Electronic City Phase II,1065.0,2.0,30.75,2.0
Electronic City Phase II,1140.0,2.0,33.06,2.0
Electronic City Phase II,911.0,2.0,26.5,2.0
Electronic City Phase II,1200.0,2.0,34.65,2.0
Electronic City Phase II,1031.0,2.0,54.48,2.0
Electronics City Phase 1,1475.0,3.0,78.29,3.0
Electronics City Phase 1,1490.0,3.0,78.8,3.0
Electronics City Phase 1,1113.27,2.0,53.0,2.0
Electronics City Phase 1,1490.0,3.0,84.0,3.0
Electronics City Phase 1,1015.0,2.0,56.0,2.0
Electronics City Phase 1,1515.0,2.0,80.91,3.0
Electronics City Phase 1,995.0,2.0,46.0,2.0
Electronics City Phase 1,1555.0,2.0,82.0,3.0
Electronics City Phase 1,1340.0,2.0,75.0,2.0
Electronics City Phase 1,1124.0,2.0,55.0,3.0
Electronics City Phase 1,1175.0,2.0,57.0,2.0
Electronics City Phase 1,755.0,1.0,42.41,1.0
Electronics City Phase 1,580.0,1.0,27.0,1.0
Electronics City Phase 1,940.0,2.0,49.0,2.0
Electronics City Phase 1,1335.0,2.0,67.0,2.0
Electronics City Phase 1,1113.12,2.0,55.0,2.0
Electronics City Phase 1,1350.0,3.0,71.0,3.0
Electronics City Phase 1,995.0,2.0,49.8,2.0
Electronics City Phase 1,635.0,1.0,26.0,1.0
Electronics City Phase 1,1190.0,2.0,68.0,2.0
Electronics City Phase 1,1450.0,3.0,72.54,3.0
Electronics City Phase 1,360.0,1.0,16.9,1.0
Electronics City Phase 1,638.0,1.0,32.0,1.0
Electronics City Phase 1,1175.0,2.0,64.98,2.0
Electronics City Phase 1,585.0,1.0,21.0,1.0
Electronics City Phase 1,1200.0,2.0,59.76,2.0
Electronics City Phase 1,1145.0,2.0,54.0,2.0
Electronics City Phase 1,1125.0,2.0,65.0,2.0
Electronics City Phase 1,1550.0,2.0,82.0,3.0
Electronics City Phase 1,865.0,2.0,40.0,2.0
Electronics City Phase 1,1800.0,3.0,93.0,3.0
Electronics City Phase 1,1314.0,2.0,60.0,2.0
Electronics City Phase 1,1170.0,2.0,62.0,2.0
Electronics City Phase 1,1450.0,3.0,79.0,3.0
Electronics City Phase 1,940.0,2.0,48.0,2.0
Electronics City Phase 1,940.0,2.0,44.0,2.0
Electronics City Phase 1,1300.0,2.0,67.0,2.0
Electronics City Phase 1,1028.0,2.0,51.0,2.0
Electronics City Phase 1,1205.0,2.0,60.0,2.0
Electronics City Phase 1,1305.0,2.0,67.0,2.0
Electronics City Phase 1,755.0,1.0,30.12,1.0
Electronics City Phase 1,1175.0,2.0,60.0,2.0
Frazer Town,1700.0,3.0,180.0,3.0
Frazer Town,1305.0,3.0,95.45,3.0
Frazer Town,1870.0,3.0,185.0,3.0
Frazer Town,1750.0,3.0,150.0,3.0
Frazer Town,2000.0,3.0,200.0,3.0
Frazer Town,3500.0,4.0,330.0,3.0
Frazer Town,2350.0,4.0,285.0,3.0
Frazer Town,1550.0,2.0,140.0,2.0
Frazer Town,1900.0,4.0,145.0,3.0
Frazer Town,2560.0,3.0,265.0,3.0
Frazer Town,2400.0,3.0,260.0,3.0
Frazer Town,2560.0,3.0,288.0,3.0
Frazer Town,3436.0,5.0,341.0,4.0
Frazer Town,1315.0,2.0,140.0,2.0
Frazer Town,1706.0,3.0,154.0,3.0
Frazer Town,2079.0,3.0,220.0,3.0
Frazer Town,3435.0,2.0,341.0,4.0
Frazer Town,3436.0,5.0,345.0,4.0
Frazer Town,3100.0,3.0,400.0,3.0
Frazer Town,5400.0,3.0,400.0,3.0
Frazer Town,1180.0,2.0,105.0,2.0
Frazer Town,2900.0,4.0,325.0,4.0
Frazer Town,1870.0,3.0,180.0,3.0
Frazer Town,896.0,1.0,100.0,1.0
Frazer Town,1420.0,2.0,120.0,2.0
GM Palaya,1820.0,2.0,86.0,3.0
GM Palaya,1225.0,2.0,47.0,2.0
GM Palaya,1140.0,2.0,48.95,2.0
GM Palaya,1315.0,2.0,65.0,3.0
GM Palaya,1315.0,3.0,65.0,3.0
GM Palaya,1315.0,3.0,64.0,3.0
GM Palaya,1735.0,3.0,70.0,3.0
GM Palaya,1643.0,2.0,70.0,3.0
Garudachar Palya,1325.0,2.0,60.8,3.0
Garudachar Palya,1060.0,2.0,48.7,2.0
Garudachar Palya,1150.0,2.0,52.75,2.0
Garudachar Palya,1295.0,2.0,59.5,3.0
Garudachar Palya,1320.0,2.0,60.6,3.0
Garudachar Palya,1295.0,2.0,59.5,3.0
Garudachar Palya,1150.0,2.0,52.8,2.0
Garudachar Palya,1150.0,2.0,52.8,2.0
Garudachar Palya,1060.0,2.0,48.5,2.0
Garudachar Palya,1150.0,2.0,52.5,2.0
Garudachar Palya,1325.0,2.0,60.8,3.0
Garudachar Palya,1060.0,2.0,48.66,2.0
Garudachar Palya,1150.0,2.0,52.0,2.0
Garudachar Palya,1154.0,2.0,51.8,2.0
Giri Nagar,2400.0,4.0,400.0,4.0
Giri Nagar,1800.0,3.0,252.0,3.0
Giri Nagar,1350.0,3.0,240.0,3.0
Giri Nagar,2400.0,4.0,400.0,4.0
Giri Nagar,3000.0,4.0,375.0,6.0
Giri Nagar,2400.0,6.0,400.0,6.0
Giri Nagar,4000.0,3.0,750.0,4.0
Gollarapalya Hosahalli,861.0,2.0,34.5,2.0
Gollarapalya Hosahalli,1408.0,3.0,62.0,3.0
Gollarapalya Hosahalli,861.0,2.0,34.5,2.0
Gollarapalya Hosahalli,1318.0,3.0,54.0,3.0
Gollarapalya Hosahalli,861.0,2.0,36.5,2.0
Gollarapalya Hosahalli,1320.0,3.0,60.0,3.0
Gollarapalya Hosahalli,1345.0,3.0,60.0,3.0
Gollarapalya Hosahalli,1905.0,3.0,86.0,4.0
Gollarapalya Hosahalli,1318.0,3.0,56.0,3.0
Gollarapalya Hosahalli,1129.0,2.0,50.0,2.0
Gottigere,1100.0,2.0,40.0,2.0
Gottigere,967.0,2.0,45.0,2.0
Gottigere,1618.0,3.0,82.5,3.0
Gottigere,1222.0,2.0,63.0,2.0
Gottigere,1300.0,3.0,65.0,3.0
Gottigere,950.0,2.0,38.0,2.0
Gottigere,1153.0,2.0,48.5,2.0
Gottigere,812.0,1.0,26.0,1.0
Gottigere,1460.0,2.0,65.0,3.0
Gottigere,1500.0,3.0,70.0,3.0
Gottigere,1621.0,3.0,72.0,3.0
Gottigere,812.0,1.0,26.0,1.0
Gottigere,990.0,2.0,40.0,2.0
Gottigere,1235.0,2.0,63.0,2.0
Gottigere,1385.0,3.0,64.0,3.0
Gottigere,1000.0,2.0,35.0,2.0
Gottigere,1010.0,2.0,35.0,2.0
Gottigere,1435.0,2.0,62.0,3.0
Gottigere,945.0,2.0,45.0,2.0
Gottigere,2500.0,3.0,120.0,4.0
Gottigere,1230.0,2.0,52.0,3.0
Gottigere,1120.0,2.0,50.0,2.0
Gottigere,1500.0,3.0,63.0,3.0
Gottigere,1200.0,2.0,40.0,2.0
Gottigere,1280.0,2.0,61.0,2.0
Gottigere,1205.0,2.0,56.58,2.0
Gottigere,1170.0,2.0,40.0,2.0
Gottigere,3000.0,3.0,132.0,4.0
Gottigere,1613.0,3.0,72.0,3.0
Gottigere,1110.0,2.0,36.25,2.0
Gottigere,1245.0,2.0,59.0,2.0
Gottigere,1200.0,2.0,50.0,2.0
Green Glen Layout,1670.0,3.0,120.0,3.0
Green Glen Layout,3250.0,4.0,230.0,4.0
Green Glen Layout,1776.42,3.0,105.0,3.0
Green Glen Layout,3250.0,4.0,230.0,4.0
Green Glen Layout,940.0,2.0,56.8,2.0
Green Glen Layout,1075.0,2.0,60.0,2.0
Green Glen Layout,1715.0,3.0,115.0,3.0
Green Glen Layout,1751.0,2.0,115.0,3.0
Green Glen Layout,1750.0,3.0,130.0,3.0
Green Glen Layout,1530.0,3.0,105.0,3.0
Green Glen Layout,1752.0,3.0,105.0,3.0
Green Glen Layout,1680.0,4.0,95.0,3.0
Green Glen Layout,1728.0,3.0,125.0,3.0
Green Glen Layout,1645.0,3.0,110.0,3.0
Green Glen Layout,1517.0,3.0,100.0,3.0
Green Glen Layout,3150.0,4.0,218.0,4.0
Green Glen Layout,1750.0,3.0,120.0,3.0
Green Glen Layout,1751.0,3.0,115.0,3.0
Green Glen Layout,1750.0,3.0,105.0,3.0
Green Glen Layout,1885.0,3.0,135.0,3.0
Green Glen Layout,1715.0,3.0,120.0,3.0
Green Glen Layout,1623.29,2.0,105.0,3.0
Green Glen Layout,1715.0,3.0,115.0,3.0
Green Glen Layout,1715.0,3.0,105.0,3.0
Green Glen Layout,1600.0,3.0,105.0,3.0
Green Glen Layout,1717.0,3.0,125.0,3.0
Green Glen Layout,1250.0,2.0,75.0,2.0
Green Glen Layout,1715.0,3.0,112.0,3.0
Gubbalala,1470.0,2.0,82.0,3.0
Gubbalala,1745.0,3.0,104.0,3.0
Gubbalala,1745.0,3.0,115.0,3.0
Gubbalala,1745.0,3.0,110.0,3.0
Gubbalala,1650.0,3.0,71.0,3.0
Gubbalala,2570.0,4.0,141.0,5.0
Gubbalala,1205.0,2.0,70.0,2.0
Gubbalala,1435.0,2.0,80.0,3.0
Gubbalala,1475.0,2.0,80.0,2.0
Gubbalala,1100.0,2.0,49.5,2.0
Gubbalala,1060.0,2.0,46.0,2.0
Gubbalala,2000.0,3.0,125.0,3.0
Gunjur,1140.0,2.0,43.0,2.0
Gunjur,1356.0,2.0,66.0,3.0
Gunjur,1600.0,3.0,75.0,3.0
Gunjur,2000.0,3.0,95.0,4.0
Gunjur,1140.0,2.0,49.11,2.0
Gunjur,1195.0,2.0,44.0,2.0
Gunjur,1190.0,2.0,40.0,2.0
Gunjur,1457.0,2.0,60.0,2.0
Gunjur,1080.0,2.0,41.0,2.0
Gunjur,1175.0,2.0,43.48,2.0
Gunjur,1362.0,3.0,62.63,3.0
Gunjur,1071.0,2.0,51.0,2.0
Gunjur,1063.0,2.0,40.0,2.0
Gunjur,1235.0,2.0,52.76,2.0
Gunjur,1362.0,3.0,62.63,3.0
Gunjur,1362.0,3.0,62.63,3.0
Gunjur,1588.0,2.0,90.0,3.0
Gunjur,1235.0,2.0,44.5,2.0
Gunjur,1457.0,2.0,60.0,2.0
HAL 2nd Stage,1490.0,2.0,300.0,3.0
HAL 2nd Stage,600.0,3.0,145.0,2.0
HAL 2nd Stage,2700.0,3.0,500.0,3.0
HAL 2nd Stage,2040.0,4.0,500.0,5.0
HBR Layout,2800.0,2.0,200.0,3.0
HBR Layout,1722.0,3.0,95.0,3.0
HBR Layout,1200.0,4.0,120.0,4.0
HBR Layout,1200.0,2.0,60.0,2.0
HBR Layout,1004.0,2.0,49.0,2.0
HBR Layout,1783.0,3.0,125.0,3.0
HBR Layout,1656.0,3.0,90.0,3.0
HBR Layout,1089.0,2.0,60.0,2.0
HBR Layout,1700.0,3.0,110.0,3.0
HBR Layout,1198.0,2.0,65.0,2.0
HBR Layout,1200.0,4.0,115.0,4.0
HBR Layout,1200.0,2.0,120.0,2.0
HBR Layout,1832.0,3.0,160.0,3.0
HRBR Layout,1374.0,2.0,95.0,2.0
HRBR Layout,1440.0,2.0,98.0,2.0
HRBR Layout,2800.0,3.0,250.0,3.0
HRBR Layout,1210.0,2.0,75.0,2.0
HRBR Layout,1265.0,2.0,78.0,2.0
HRBR Layout,1170.0,2.0,75.0,2.0
HRBR Layout,1900.0,3.0,90.0,4.0
HRBR Layout,1625.0,3.0,120.0,3.0
HRBR Layout,1301.0,2.0,120.0,2.0
HRBR Layout,1145.0,2.0,68.5,2.0
HRBR Layout,1300.0,2.0,90.0,2.0
HSR Layout,1372.0,2.0,68.0,2.0
HSR Layout,1475.0,3.0,75.0,3.0
HSR Layout,1467.0,2.0,55.0,2.0
HSR Layout,1140.0,2.0,46.0,2.0
HSR Layout,1372.0,2.0,61.0,2.0
HSR Layout,1750.0,3.0,95.0,3.0
HSR Layout,1027.0,2.0,44.0,2.0
HSR Layout,1650.0,3.0,110.0,3.0
HSR Layout,1140.0,2.0,46.0,2.0
HSR Layout,1372.0,2.0,61.0,2.0
HSR Layout,1140.0,2.0,46.0,2.0
HSR Layout,1185.0,2.0,60.0,2.0
HSR Layout,1127.0,2.0,68.0,2.0
HSR Layout,1600.0,2.0,115.0,3.0
HSR Layout,1145.0,2.0,48.0,2.0
HSR Layout,1009.0,2.0,56.0,2.0
HSR Layout,1300.0,2.0,98.0,2.0
HSR Layout,1140.0,2.0,46.0,2.0
HSR Layout,1126.0,2.0,69.0,2.0
HSR Layout,1140.0,2.0,46.0,2.0
HSR Layout,1145.0,2.0,46.0,2.0
HSR Layout,1142.0,2.0,65.0,2.0
HSR Layout,1145.0,2.0,46.0,2.0
HSR Layout,1844.0,3.0,95.0,3.0
HSR Layout,1203.0,2.0,72.0,2.0
HSR Layout,1140.0,2.0,46.0,2.0
HSR Layout,4200.0,5.0,245.0,5.0
HSR Layout,1140.0,2.0,46.0,2.0
HSR Layout,1145.0,2.0,46.0,2.0
HSR Layout,1009.0,2.0,56.0,2.0
HSR Layout,1145.0,2.0,46.0,2.0
HSR Layout,1100.0,2.0,44.0,2.0
HSR Layout,1203.0,2.0,60.0,2.0
HSR Layout,1120.0,2.0,70.0,2.0
HSR Layout,1140.0,2.0,46.0,2.0
HSR Layout,1289.0,2.0,70.0,2.0
HSR Layout,1844.0,3.0,89.0,3.0
HSR Layout,1203.0,2.0,60.0,2.0
HSR Layout,1140.0,2.0,46.0,2.0
Haralur Road,1240.0,2.0,70.0,2.0
Haralur Road,1027.0,2.0,44.0,2.0
Haralur Road,2650.0,4.0,198.0,4.0
Haralur Road,1194.0,2.0,47.0,2.0
Haralur Road,1202.0,2.0,53.0,2.0
Haralur Road,1056.0,2.0,61.0,2.0
Haralur Road,1810.0,3.0,100.0,3.0
Haralur Road,1194.0,2.0,46.0,2.0
Haralur Road,1225.0,2.0,67.38,2.0
Haralur Road,1243.0,2.0,46.0,2.0
Haralur Road,1027.0,2.0,44.0,2.0
Haralur Road,1920.0,3.0,115.0,3.0
Haralur Road,1875.0,3.0,110.0,3.0
Haralur Road,1194.0,2.0,47.0,2.0
Haralur Road,1140.0,2.0,43.0,2.0
Haralur Road,1027.0,2.0,44.0,2.0
Haralur Road,1194.0,2.0,46.0,2.0
Haralur Road,2017.0,3.0,125.0,3.0
Haralur Road,1140.0,2.0,43.0,2.0
Haralur Road,1875.0,3.0,110.0,3.0
Haralur Road,1092.0,2.0,44.0,2.0
Haralur Road,2475.0,4.0,130.0,3.0
Haralur Road,1300.0,2.0,73.0,2.0
Haralur Road,1194.0,2.0,47.0,2.0
Haralur Road,1243.0,2.0,46.0,2.0
Haralur Road,1850.0,3.0,110.0,3.0
Haralur Road,1225.0,2.0,67.38,2.0
Haralur Road,1243.0,2.0,46.0,2.0
Haralur Road,3400.0,5.0,240.0,4.0
Haralur Road,1464.0,2.0,56.0,2.0
Haralur Road,1230.0,2.0,78.0,2.0
Haralur Road,1000.0,2.0,44.0,2.0
Haralur Road,1300.0,2.0,79.0,2.0
Haralur Road,1444.0,2.0,80.0,3.0
Haralur Road,1088.0,2.0,68.0,2.0
Haralur Road,1027.0,2.0,44.0,2.0
Haralur Road,1225.0,2.0,70.0,2.0
Haralur Road,1194.0,2.0,46.0,2.0
Haralur Road,1830.0,3.0,101.0,3.0
Haralur Road,1810.0,3.0,126.0,3.0
Haralur Road,1464.0,2.0,56.0,2.0
Haralur Road,1520.0,2.0,96.0,3.0
Haralur Road,1300.0,2.0,75.0,2.0
Haralur Road,2017.0,2.0,125.0,3.0
Haralur Road,1243.0,2.0,46.0,2.0
Haralur Road,1027.0,2.0,44.0,2.0
Haralur Road,2805.0,5.0,160.0,4.0
Haralur Road,1243.0,2.0,46.0,2.0
Haralur Road,1027.0,2.0,44.0,2.0
Haralur Road,2017.0,3.0,105.0,3.0
Haralur Road,1243.0,2.0,46.0,2.0
Haralur Road,1243.0,2.0,46.0,2.0
Haralur Road,1520.0,2.0,90.0,3.0
Haralur Road,1300.0,2.0,60.0,2.0
Haralur Road,1985.0,3.0,130.0,3.0
Haralur Road,1255.0,2.0,90.0,3.0
Haralur Road,1056.0,2.0,60.0,2.0
Haralur Road,1140.0,2.0,42.0,2.0
Haralur Road,1245.0,2.0,62.0,2.0
Haralur Road,1140.0,2.0,58.0,2.0
Haralur Road,1140.0,2.0,42.0,2.0
Haralur Road,1027.0,2.0,43.0,2.0
Haralur Road,1194.0,2.0,47.0,2.0
Haralur Road,1194.0,2.0,47.0,2.0
Haralur Road,1560.0,3.0,90.0,3.0
Haralur Road,1520.0,2.0,85.0,3.0
Haralur Road,1243.0,2.0,45.0,2.0
Haralur Road,1027.0,2.0,44.0,2.0
Haralur Road,1194.0,2.0,46.0,2.0
Haralur Road,1650.0,3.0,100.0,3.0
Haralur Road,1580.0,3.0,73.0,3.0
Haralur Road,1243.0,2.0,46.0,2.0
Haralur Road,1194.0,2.0,47.0,2.0
Haralur Road,1520.0,2.0,96.0,3.0
Haralur Road,1510.0,3.0,83.05,3.0
Haralur Road,1056.0,2.0,65.0,2.0
Haralur Road,1810.0,3.0,100.0,3.0
Haralur Road,1243.0,2.0,46.0,2.0
Haralur Road,575.0,1.0,38.0,1.0
Haralur Road,1194.0,2.0,46.0,2.0
Haralur Road,1243.0,2.0,46.0,2.0
Haralur Road,1194.0,2.0,46.0,2.0
